Book Name,Author Name,Publisher Name,List Price,Selling Price,Binding,Release Date,Language
Crucible,James Rollins,William Morrow & Company,"Rs.2,233","Rs.1,496",Hardback,22 Jan 2019,English

Fire & Blood,George R. R. Martin,Bantam,"Rs.2,695","Rs.1,913",Hardback,20 Nov 2018,English

The Only Woman in the Room,Marie Benedict,Sourcebooks Landmark,"Rs.2,002","Rs.1,522",Hardback,08 Jan 2019,English

Nine Perfect Strangers,Liane Moriarty,Flatiron Books                          ,"Rs.2,233","Rs.1,764",Hardback,06 Nov 2018,English

Turning Point,Danielle Steel ,Delacorte Press,"Rs.2,233","Rs.1,474",Hardback,08 Jan 2019,English

Women Rowing North,Mary Pipher,Bloomsbury Publishing,"Rs.2,079","Rs.1,642",Hardback,15 Jan 2019,English

Team of Vipers,Cliff Sims,Thomas Dunne Books,"Rs.2,310",Rs.785,Hardback,29 Jan 2019,English

Shameless,Nadia Bolz-Weber,Convergent Books,"Rs.1,925","Rs.1,213",Hardback,29 Jan 2019,English

The Truths We Hold,Kamala Harris,Penguin Press,"Rs.2,310","Rs.1,733",Hardback,08 Jan 2019,English

Bad Blood,John Carreyrou,Knopf Publishing Group,"Rs.2,153","Rs.1,464",Hardback,21 May 2018,English

From the Ground Up,Howard Schultz,Random House,"Rs.2,156","Rs.1,445",Hardback,28 Jan 2019,English

The New Iberia Blues,James Lee Burke,Simon & Schuster,"Rs.2,156","Rs.1,466",Hardback,08 Jan 2019,English

Five Feet Apart,Rachael Lippincott,Simon & Schuster Books for Young Readers,"Rs.1,463",Rs.951,Hardback,20 Nov 2018,English

Two Can Keep a Secret,Karen M. McManus,Delacorte Press,"Rs.1,540","Rs.1,032",Hardback,08 Jan 2019,English

A Curse So Dark and Lonely,Brigid Kemmerer,Bloomsbury YA,"Rs.1,463","Rs.1,200",Hardback,29 Jan 2019,English

Where the Crawdads Sing,Delia Owens,G.P. Putnam's Sons,"Rs.2,080","Rs.1,539",Hardback,14 Aug 2018,English

"The Fork, the Witch, and the Worm",Christopher Paolini,Alfred A. Knopf Books for Young Readers,"Rs.1,360",Rs.993,Hardback,31 Dec 2018,English

Sapiens,Yuval Noah Harari,Harper Perennial,"Rs.1,925","Rs.1,386",Paperback,15 May 2018,English

Maid,Stephanie Land,Hachette Books,"Rs.2,079","Rs.1,663",Hardback,01 Jan 2019,English

The Proposal,Jasmine Guillory,Berkley Books,"Rs.1,155",Rs.762,Paperback,30 Oct 2018,English

Dear Evan Hansen,Benj Pasek ,Poppy Books,"Rs.1,520","Rs.1,125",Hardback,09 Oct 2018,English

The House Next Door,James Patterson ,Grand Central Publishing,"Rs.1,232",Rs.973,Paperback,08 Jan 2019,English

Every Breath,Nicholas Sparks,Grand Central Publishing,"Rs.2,156","Rs.1,617",Hardback,16 Oct 2018,English

Eleanor Oliphant Is Completely Fine,Gail Honeyman,Penguin Books,"Rs.1,280",Rs.883,Paperback,05 Jun 2018,English

The Tattooist of Auschwitz,Heather Morris ,Harper Paperbacks,"Rs.1,309",Rs.838,Paperback,04 Sep 2018,English

Fault in Our Stars,John Green,Penguin Books Ltd,Rs.399,Rs.351,Paperback,03 Jan 2013,English

Murder on the Orient Express,Not mentioned,HarperCollins Publishers,Rs.250,Rs.150,Paperback,12/2009,English

Old Man and the Sea,Not mentioned,Cornerstone,Rs.150,Rs.90,Paperback,04 Jan 1994,ENGLISH

The Kite Runner,Not mentioned,Bloomsbury Publishing,Rs.599,Rs.401,Not mentioned,2013,English

Harry Potter and the Philosopher's Stone,J. K. Rowling,Bloomsbury Publishing PLC,Rs.399,Rs.303,PAPERBACK,01 Sep 2014,ENGLISH

Harry Potter and the Goblet of Fire,J. K. Rowling,Bloomsbury Publishing PLC,Rs.699,Rs.482,PAPERBACK,01 Sep 2014,ENGLISH

New Moon,Stephenie Meyer,"Little, Brown Book Group",Rs.499,Rs.399,Paperback,06 Sep 2007,English

Harry Potter and the Prisoner of Azkaban,J. K. Rowling,Bloomsbury Publishing PLC,Rs.499,Rs.349,PAPERBACK,01 Sep 2014,ENGLISH

Shining,Stephen King,Hodder & Stoughton General Division,Not mentioned,Rs.650,Paperback,10 Nov 2011,English

Stand,Stephen King,Hodder & Stoughton General Division,"Rs.1,099",Rs.956,Paperback,12 May 2011,English

Breaking Dawn,Stephenie Meyer,"Little, Brown Book Group",Rs.499,Rs.399,Paperback,29 May 2010,English

Harry Potter and the Deathly Hallows,J. K. Rowling,Bloomsbury Publishing PLC,Rs.699,Rs.482,PAPERBACK,01 Sep 2014,ENGLISH

Harry Potter and the Order of the Phoenix,J. K. Rowling,Bloomsbury Publishing PLC,Rs.799,Rs.551,PAPERBACK,01 Sep 2014,ENGLISH

The Power of Habit,Charles Duhigg,Random House Trade,"Rs.1,386",Rs.901,Paperback,07 Jan 2014,English

Hunger Games,Suzzane Colline,Scholastic,"Rs.1,095",Rs.745,Paperback,September'2015,English

Harry Potter Box Set: The Complete Collection Children's Paperback,J.K.Rowling,Bloomsbury Publishing PLC,"Rs.4,250","Rs.2,848",Paperback,09 Oct 2014,Not mentioned

Red Queen,Victoria Aveyard,Orion Publishing Co,Rs.599,Rs.449,Paperback,02 Jul 2015,English

The Power of Your Subconscious Mind, Joseph Murphy,Prentice Hall Press,Rs.800,Rs.568,Paperback,04 Jan 2011,English

Inner Engineering: A Yogi�s Guide to Joy,Not mentioned,Penguin Random House India Pvt. Ltd.,Rs.299,Rs.179,Paperback,12 Dec 2016,English

Measure What Matters,Larry Page,Portfolio,"Rs.2,079","Rs.1,310",Hardback,24 Apr 2018,English

Ahimsa,Supriya Kelkar,Tu Books,"Rs.1,614","Rs.1,243",Hardback,02 Oct 2017,English

All the Lives We Never Lived,Anuradha Roy,Quercus Publishing,Rs.899,Rs.593,Paperback,14 Jun 2018,English

The Intelligent Investor,Not mentioned,HarperBusiness,Rs.799,Rs.551,PAPERBACK,25 Jul. 2013,ENGLISH

The Monk Who Sold His Ferrari,Not mentioned,Jaico Pub House                         ,Rs.225,Rs.135,PAPERBACK,15 May 2005,English

The Three Secret Cities,MATTHEW REILLY,Gallery Books,"Rs.2,079",Rs.728,Hardback,04 Dec 2018,English

A Brief History of Modern India,Rajiv Ahir,Spectrum Books Pvt. Ltd.,Rs.365,Rs.237,Paperback,2017,English

Excel 2016 Power Programming with VBA,Not mentioned,"HarperCollins India
",Rs.899,Rs.620,PAPERBACK,01 Apr 2016,ENGLISH

Peppa Pig: Peppa's Super Noisy Sound Book,Au,Penguin Books Ltd,"Rs.1,368","Rs.1,149",Hardback,24 Sep 2014,Not mentioned

Indian Polity 5th Edition,M. Laxmikanth,McGraw Hill Education,Rs.775,Rs.574,Paperback,2016-10-28,English

Mouthful of Birds,Samanta Schweblin,Riverhead Books,"Rs.2,002","Rs.1,241",Hardback,08 Jan 2019,English

The Immortals of Meluha,Amish Tripathi ,Westland Publication Limited,Rs.499,Rs.349,Paperback,14 May 2010,English

Baby Einstein Take-Along Library,Publications International (EDT),Phoenix Intl Pubns Inc                  ,"Rs.1,276","Rs.1,008",Board book,01 Sep 2014,English

Julia Donaldson x10 Ziplock Pack 2015,Not mentioned,Pan MacMillan,"Rs.2,699","Rs.1,835",Paperback,2015,English

The Chronicles of Narnia - The Chronicles of Narnia box set,Not mentioned,HarperCollins,"Rs.1,999","Rs.1,359",Not mentioned,2010,ENGLISH

Lord of the Rings,J. R. R. Tolkien,HarperCollins Publishers,"Rs.1,499",Rs.974,Paperback,30 Aug 2012,English

Game of Thrones: The Story Continues,George R. R. Martin,HarperCollins Publishers,"Rs.4,199","Rs.2,813",Paperback,04 Jul 2012,English

